"Condition","ID","Created Date","Updated Date","Owner","Image","Title of condition","Description of conditions","Condition (Item)"
"Internet Addiction","0064c6b8-8ccc-4212-b916-0cb202422c36",2025-01-20T12:12:20Z,2025-02-11T14:23:32Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_b2a140dc68e9423baddd1af429e4f311~mv2.jpg/Controlling%20Room%20Temperature.jpg#originWidth=5000&originHeight=3251","<h1 class=""font_0"">Top Treatment Centers for Internet Addiction</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/internet-addiction"
"Neurodiversity","017996f0-1974-4565-8a03-7cbd7aaf4bca",2025-01-20T12:41:32Z,2025-02-11T14:21:37Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_34e8efd88a1849f9adb483ed08739e77~mv2.jpg/Couple%20Meditating%20Outdoors.jpg#originWidth=5049&originHeight=3366","<h1 class=""font_0"">Top Treatment Centers for <a href=""https://recovery.com/condition/neurodiversity/"">Neurodiversity</a></h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/neurodiversity"
"Post-Traumatic Stress Disorder","060b97a7-7477-4c8b-8d06-9bd74b0a5077",2025-01-20T12:43:46Z,2025-02-11T14:16:47Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_5f428a535a7e492c9c8311a26cdae244~mv2.jpg/Woman%20holding%20temples.jpg#originWidth=5000&originHeight=3333","<h1 class=""font_0"">Top Treatment Centers for Post-Traumatic Stress Disorder (PTSD)</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/post-traumatic-stress-disorder"
"Shopping Addiction","0e768ae2-8616-4f99-a5c2-3f6c4340c9ef",2025-01-20T12:47:15Z,2025-02-11T14:10:36Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/40128ec65a57496495fd76aed7eec0e5.jpg/Shopping%20Bags.jpg#originWidth=3000&originHeight=2000","<h1 class=""font_0"">Top Treatment Centers for Shopping Addiction</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/shopping-addiction"
"Suicidality","1d950dca-2410-4621-9304-50fb9e770929",2025-01-20T12:47:58Z,2025-02-11T14:09:38Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/679ee876606940af9690fef707686081.jpg/Hands%20with%20engagement%20ring.jpg#originWidth=5472&originHeight=3648","<h1 class=""font_0"">Top Treatment Centers for Suicidality</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/suicidality"
"Personality Disorders","1e822c2d-b8de-4a0f-83c8-4fd23e24ed74",2025-01-20T12:42:41Z,2025-02-11T14:19:46Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_9ad39e93c69e4212aebbbe3d98d8f039~mv2.jpg/Hike.jpg#originWidth=5000&originHeight=3333","<h1 class=""font_0"">Top Treatment Centers for Personality Disorders</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/personality-disorders"
"Depression","202dad8a-bcd3-42d1-b79f-c240f92f80b4",2025-01-20T12:07:48Z,2025-02-11T14:29:03Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_e0e488fa69824c65a6209d6bbf8aff7e~mv2.jpeg/Psychology%20Session.jpeg#originWidth=4200&originHeight=2800","<h1 class=""font_0"">Top Treatment Centers for Depression &amp; Mental Health</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/depression"
" ADHD, ADD","24395957-c577-4161-b5ca-629fff710a78",2025-01-20T11:55:27Z,2025-02-11T14:39:28Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_7f62909183eb4cd1961e307cc2506dc7~mv2.jpg/Friends%20Talking%20Outside.jpg#originWidth=5616&originHeight=3744","<h1 class=""font_0"">Top Treatment Centers for ADHD and ADD</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/adhd%2C-add"
"Anxiety","2b2199a1-55f4-45fb-bba4-8e587176183e",2025-01-20T12:04:21Z,2025-02-11T14:34:40Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_ab8dacd5327842979e4008859a62cbf0~mv2.jpeg/Consultation.jpeg#originWidth=5695&originHeight=3796","<h1 class=""font_0"">Top Treatment Centers for Anxiety</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/anxiety"
"Schizophrenia","35c6aff8-c028-458a-ad15-a143d24cadc1",2025-01-20T12:45:01Z,2025-02-11T14:15:27Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_66a570629f7f4b2dbdc7b245858f02bf~mv2.jpg/Support%20Group.jpg#originWidth=2736&originHeight=1539","<h1 class=""font_0"">Top Treatment Centers for Schizophrenia</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/schizophrenia"
"Pornography Addiction","3d401289-b6de-4d30-9889-4a5cae2cc559",2025-01-20T12:43:05Z,2025-02-11T14:17:31Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/28fed2f3c95f4589a1259daaedda1b0f.jpg/Therapy%20session.jpg#originWidth=5760&originHeight=3840","<h1 class=""font_0"">Top Treatment Centers for Pornography Addiction</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/pornography-addiction"
"Chronic Pain Management","61651f5d-e64c-4644-96ac-110be74c0958",2025-01-20T12:06:24Z,2025-02-11T14:31:52Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_6dfe8d1146b348539dd0dfea8ea11c8a~mv2.jpg/Woman%20lying%20in%20bed.jpg#originWidth=7000&originHeight=4667","<h1 class=""font_0"">Top Treatment Centers for Chronic Pain Management</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/chronic-pain-management"
"Trauma","7445b6b7-99f5-4b45-891c-03c977fb863f",2025-01-20T12:48:48Z,2025-02-11T14:08:23Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_c2251b86bf514ce88489b3a4c6e27917~mv2.jpeg/Therapy%20session.jpeg#originWidth=6192&originHeight=4128","<h1 class=""font_0"">Top Treatment Centers for Trauma</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/trauma"
"Narcissism","751c1e7a-222e-4c03-b60a-ce21d5c88a8f",2025-01-20T12:13:12Z,2025-02-11T14:22:14Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_ab8dacd5327842979e4008859a62cbf0~mv2.jpeg/Consultation.jpeg#originWidth=5695&originHeight=3796","<h1 class=""font_0"">Top Treatment Centers for Narcissism</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/narcissism"
"Stress","814b6e9a-9e54-44dd-be07-b9c799b1d0fd",2025-01-20T12:47:37Z,2025-02-11T14:11:46Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/f4a2eb10b3154a8a8c1bcda2e37e94c0.jpg/Stressed%20Woman.jpg#originWidth=7111&originHeight=4259","<h1 class=""font_0"">Top Treatment Centers for Stress</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/stress"
"Anger","853eec26-b8e3-45e0-9225-1f143ff7f90a",2025-01-20T12:03:35Z,2025-02-11T14:39:37Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d",,"<h1 class=""font_0"">Top Treatment Centers for Anger</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/anger"
"Sex Addiction","8881d5ae-e6b9-4a5d-a4f1-561d9c57ffc3",2025-01-20T12:46:42Z,2025-02-11T14:13:47Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_91c68fe6b7964e16a7e1aa9a22f5ab5b~mv2.jpg/Thinking%20Man.jpg#originWidth=6000&originHeight=4000","<h1 class=""font_0"">Top Treatment Centers for Sex Addiction</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/sex-addiction"
"Grief and Loss","89bb3978-47c3-4d6e-bd26-93b0c633536c",2025-01-20T12:11:47Z,2025-02-11T14:24:50Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_3a072f2112504311bf13102232fa7fe5~mv2.jpg/Group%20Therapy%20Session.jpg#originWidth=5000&originHeight=3191","<h1 class=""font_0"">Top Treatment Centers for Grief and Loss</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/grief-and-loss"
"Burnout","8a31b7ff-3096-4fb2-9b88-9997615dae19",2025-01-20T12:05:51Z,2025-02-11T14:32:43Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_cf764d97e8ac45b2aea80ee09fb87aca~mv2.jpeg/Therapy.jpeg#originWidth=5079&originHeight=3014","<h1 class=""font_0"">Top Treatment Centers for Burnout</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/burnout"
"Gaming","91096e35-044c-439d-a453-19fb71daea31",2025-01-20T12:10:44Z,2025-02-11T14:26:04Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_5a0be1f234054070a89be0c04490e985~mv2.jpeg/Gaming%20Time.jpeg#originWidth=5326&originHeight=3551","<h1 class=""font_0"">Top Treatment Centers for Video Game Addiction</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/gaming"
"Bipolar","94180c51-ed0e-48cf-8f2d-06c6d0e38f1a",2025-01-20T12:05:08Z,2025-02-11T14:34:34Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_e0e488fa69824c65a6209d6bbf8aff7e~mv2.jpeg/Psychology%20Session.jpeg#originWidth=4200&originHeight=2800","<h1 class=""font_0"">Top Treatment Centers for Bipolar</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/bipolar"
"Self-Harm","95be6101-4596-4559-9702-d390da9984e8",2025-01-20T12:46:00Z,2025-02-11T14:14:42Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_938d4c49eaa04cd5ac225719e9d98bb4~mv2.jpeg/Supportive%20Friend.jpeg#originWidth=5760&originHeight=3840","<h1 class=""font_0"">Top Treatment Centers for Self-Harm</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/self-harm"
"Eating Disorder","cfef3622-76ec-4fbf-92c9-4c98a5a0e27f",2025-01-20T12:08:35Z,2025-02-11T14:28:37Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/c56371ca8282418b82c7959b05e050a9.jpg/Burger%20Shot.jpg#originWidth=6000&originHeight=4000","<h1 class=""font_0"">Top Treatment Centers for Eating Disorder</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/eating-disorder"
"Obsessive Compulsive Disorder (OCD)","d4e5210d-e20e-4019-9874-06fae5f5c3b0",2025-01-20T12:42:28Z,2025-02-11T14:20:29Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/11062b_952fde95e5bf4cec90f94e7feb980a54~mv2.jpg/Taking%20a%20Break.jpg#originWidth=4839&originHeight=3226","<h1 class=""font_0"">Top Treatment Centers for <a href=""https://recovery.com/condition/neurodiversity/"">Neurodiversity</a> Obsessive Compulsive Disorder (OCD)</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/obsessive-compulsive-disorder-(ocd)"
"Codependency","de5120ca-f06c-4996-8552-47cf592bd4c9",2025-01-20T12:07:17Z,2025-02-11T14:30:02Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/23c6ed3f5e614c09b28a14d774acf206.jpg/Thinking%20Man%20on%20Couch.jpg#originWidth=5004&originHeight=3264","<h1 class=""font_0"">Top Treatment Centers for Codependency</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/codependency"
"Gambling","e9af561d-5450-4c76-813a-1fb93f4625fa",2025-01-20T12:09:57Z,2025-02-11T14:27:21Z,"9dc9c0f9-2a56-4482-9b11-6aadefe6202d","wix:image://v1/b1710430ebff44b59290e04b2eddf0e1.jpg/Casino.jpg#originWidth=1224&originHeight=809","<h1 class=""font_0"">Top Treatment Centers for Gambling</h1>","<p class=""font_7"">The most effective rehabilitation is one that suits your needs. Explore our carefully selected list of treatment options, including outpatient and residential programs.</p>","/condition/gambling"
